risk_comfort,growth_preference,loss_tolerance,time_horizon,income_stability,total_score,risk_category
7,9.9,3.3,6.6,3,6.0,Moderate
3,3.3,6.6,6.6,4,4.73,Conservative
4,6.6,3.3,3.3,2,3.86,Conservative
9,9.9,6.6,3.3,3,6.4,Moderate
8,3.3,9.9,6.6,2,6.0,Moderate
5,3.3,9.9,6.6,5,6.0,Moderate
7,3.3,9.9,9.9,10,8.06,Aggressive
4,3.3,9.9,9.9,5,6.46,Moderate
4,9.9,9.9,3.3,1,5.66,Moderate
9,6.6,9.9,9.9,10,9.13,Aggressive
8,3.3,6.6,6.6,5,5.93,Moderate
10,9.9,3.3,9.9,1,6.86,Aggressive
1,6.6,9.9,9.9,2,5.93,Moderate
9,3.3,3.3,6.6,9,6.26,Moderate
1,6.6,9.9,3.3,3,4.8,Conservative
6,6.6,3.3,3.3,7,5.26,Conservative
2,6.6,9.9,6.6,7,6.46,Moderate
9,9.9,3.3,3.3,8,6.73,Aggressive
10,9.9,9.9,3.3,4,7.46,Aggressive
6,3.3,3.3,3.3,7,4.6,Conservative
8,6.6,9.9,3.3,8,7.2,Aggressive
7,3.3,3.3,9.9,9,6.53,Moderate
5,6.6,3.3,6.6,3,4.93,Conservative
7,3.3,3.3,3.3,9,5.2,Conservative
1,9.9,3.3,3.3,8,5.13,Conservative
1,3.3,3.3,9.9,7,4.93,Conservative
7,6.6,9.9,6.6,5,7.06,Aggressive
6,6.6,6.6,3.3,2,4.93,Conservative
10,9.9,6.6,9.9,1,7.53,Aggressive
3,6.6,9.9,6.6,7,6.66,Moderate
2,3.3,9.9,3.3,9,5.53,Moderate
3,3.3,3.3,3.3,4,3.4,Conservative
4,6.6,3.3,9.9,7,6.2,Moderate
2,9.9,6.6,3.3,8,6.0,Moderate
5,9.9,3.3,6.6,6,6.2,Moderate
1,3.3,6.6,6.6,5,4.53,Conservative
5,3.3,6.6,9.9,6,6.2,Moderate
9,9.9,3.3,6.6,10,7.8,Aggressive
10,6.6,6.6,9.9,10,8.66,Aggressive
4,6.6,9.9,9.9,8,7.73,Aggressive
4,9.9,9.9,6.6,1,6.33,Moderate
1,6.6,3.3,9.9,9,6.0,Moderate
9,6.6,9.9,9.9,3,7.73,Aggressive
7,6.6,6.6,3.3,2,5.13,Conservative
4,6.6,3.3,9.9,3,5.4,Moderate
1,3.3,6.6,6.6,10,5.53,Moderate
5,6.6,3.3,3.3,6,4.86,Conservative
5,3.3,9.9,6.6,9,6.8,Aggressive
1,6.6,9.9,3.3,4,5.0,Conservative
9,9.9,6.6,9.9,1,7.33,Aggressive
4,9.9,3.3,3.3,3,4.73,Conservative
10,3.3,3.3,9.9,2,5.73,Moderate
7,6.6,6.6,3.3,10,6.73,Aggressive
2,9.9,9.9,3.3,7,6.46,Moderate
3,6.6,9.9,3.3,2,5.0,Conservative
2,9.9,9.9,6.6,1,5.93,Moderate
6,6.6,9.9,6.6,4,6.66,Moderate
7,9.9,9.9,3.3,4,6.86,Aggressive
7,9.9,6.6,6.6,2,6.46,Moderate
1,3.3,9.9,9.9,4,5.66,Moderate
6,3.3,3.3,3.3,4,4.0,Conservative
9,6.6,3.3,9.9,1,6.0,Moderate
1,3.3,9.9,6.6,2,4.6,Conservative
3,3.3,3.3,3.3,3,3.2,Conservative
7,6.6,6.6,9.9,8,7.66,Aggressive
7,3.3,3.3,9.9,2,5.13,Conservative
4,6.6,3.3,9.9,3,5.4,Moderate
7,6.6,6.6,3.3,7,6.13,Moderate
7,6.6,6.6,3.3,4,5.53,Moderate
7,9.9,6.6,6.6,9,7.86,Aggressive
3,3.3,3.3,6.6,3,3.86,Conservative
9,9.9,6.6,9.9,2,7.53,Aggressive
2,9.9,9.9,3.3,6,6.26,Moderate
5,9.9,3.3,3.3,10,6.33,Moderate
8,3.3,6.6,6.6,9,6.73,Aggressive
6,3.3,6.6,3.3,1,4.06,Conservative
6,6.6,3.3,6.6,1,4.73,Conservative
6,9.9,9.9,6.6,4,7.33,Aggressive
10,9.9,3.3,6.6,4,6.8,Aggressive
3,6.6,6.6,6.6,1,4.8,Conservative
1,9.9,3.3,9.9,8,6.46,Moderate
2,9.9,3.3,6.6,7,5.8,Moderate
5,3.3,6.6,6.6,9,6.13,Moderate
2,3.3,3.3,9.9,9,5.53,Moderate
9,3.3,3.3,3.3,5,4.8,Conservative
2,3.3,9.9,3.3,1,3.93,Conservative
9,6.6,9.9,6.6,8,8.06,Aggressive
7,9.9,3.3,6.6,7,6.8,Aggressive
2,3.3,9.9,9.9,3,5.66,Moderate
4,3.3,6.6,3.3,5,4.46,Conservative
5,3.3,3.3,6.6,2,4.06,Conservative
1,3.3,9.9,3.3,6,4.73,Conservative
10,3.3,6.6,6.6,2,5.73,Moderate
4,6.6,9.9,3.3,9,6.6,Moderate
10,6.6,9.9,3.3,10,8.0,Aggressive
4,9.9,6.6,3.3,4,5.6,Moderate
6,6.6,3.3,6.6,7,5.93,Moderate
7,9.9,3.3,6.6,6,6.6,Moderate
4,6.6,6.6,9.9,4,6.26,Moderate
10,6.6,3.3,9.9,3,6.6,Moderate
9,9.9,3.3,3.3,5,6.13,Moderate
3,6.6,9.9,3.3,4,5.4,Moderate
1,3.3,6.6,9.9,1,4.4,Conservative
4,9.9,6.6,9.9,9,7.93,Aggressive
5,6.6,3.3,9.9,9,6.8,Aggressive
10,6.6,3.3,9.9,9,7.8,Aggressive
4,3.3,6.6,6.6,9,5.93,Moderate
10,6.6,6.6,9.9,5,7.66,Aggressive
5,9.9,3.3,6.6,8,6.6,Moderate
2,3.3,3.3,9.9,10,5.73,Moderate
9,3.3,6.6,6.6,3,5.73,Moderate
1,9.9,3.3,9.9,2,5.26,Conservative
6,6.6,3.3,3.3,6,5.06,Conservative
10,3.3,3.3,9.9,9,7.13,Aggressive
7,6.6,6.6,9.9,9,7.86,Aggressive
3,9.9,3.3,6.6,5,5.6,Moderate
8,6.6,3.3,3.3,6,5.46,Moderate
9,9.9,3.3,9.9,1,6.66,Moderate
4,6.6,3.3,3.3,5,4.46,Conservative
4,6.6,9.9,3.3,6,6.0,Moderate
3,9.9,6.6,6.6,10,7.26,Aggressive
8,6.6,3.3,6.6,3,5.53,Moderate
9,9.9,9.9,6.6,3,7.73,Aggressive
6,3.3,6.6,9.9,1,5.4,Moderate
10,6.6,9.9,6.6,8,8.26,Aggressive
6,3.3,3.3,6.6,5,4.86,Conservative
5,3.3,6.6,6.6,8,5.93,Moderate
2,3.3,9.9,9.9,4,5.86,Moderate
5,3.3,3.3,6.6,5,4.66,Conservative
6,6.6,6.6,9.9,10,7.86,Aggressive
10,9.9,3.3,9.9,6,7.86,Aggressive
5,6.6,3.3,6.6,10,6.33,Moderate
10,9.9,6.6,3.3,7,7.4,Aggressive
2,6.6,9.9,6.6,4,5.86,Moderate
5,3.3,6.6,3.3,9,5.46,Moderate
6,9.9,9.9,6.6,5,7.53,Aggressive
10,6.6,3.3,6.6,6,6.53,Moderate
