risk_comfort,growth_preference,loss_tolerance,time_horizon,income_stability,risk_category
2,7,5,25,2,Moderate
7,2,9,24,3,Moderate
10,4,8,27,2,Aggressive
5,1,1,9,2,Conservative
10,2,8,20,3,Aggressive
10,1,8,3,3,Moderate
8,5,4,2,3,Moderate
8,7,7,3,2,Aggressive
3,9,1,17,2,Moderate
3,2,7,26,3,Moderate
6,3,8,29,3,Moderate
1,1,2,7,3,Conservative
8,2,5,17,1,Moderate
1,1,2,10,2,Conservative
3,6,10,8,3,Moderate
10,3,6,7,2,Moderate
10,3,6,14,2,Aggressive
10,6,7,24,3,Aggressive
10,7,6,16,2,Aggressive
10,3,2,10,2,Moderate
1,2,8,4,1,Conservative
8,9,5,21,3,Aggressive
4,3,4,2,1,Conservative
9,8,4,21,2,Aggressive
8,6,5,12,1,Moderate
4,10,5,26,2,Moderate
7,9,5,6,3,Aggressive
3,8,2,21,3,Moderate
4,8,2,13,1,Moderate
4,2,1,18,2,Conservative
8,6,5,10,2,Moderate
3,2,8,26,3,Moderate
3,3,7,22,1,Moderate
3,10,10,11,2,Aggressive
5,3,8,13,1,Moderate
4,10,6,26,2,Aggressive
4,4,8,5,3,Moderate
7,7,3,2,1,Moderate
4,8,3,18,3,Moderate
1,3,5,25,3,Conservative
3,10,7,6,1,Moderate
6,2,10,8,2,Moderate
4,2,9,18,1,Moderate
6,3,9,16,2,Moderate
5,2,4,6,3,Conservative
5,5,1,9,1,Moderate
10,2,10,6,3,Aggressive
9,1,7,10,3,Moderate
5,1,10,8,2,Moderate
4,7,5,1,2,Moderate
10,2,5,13,3,Moderate
2,2,5,22,2,Conservative
5,8,6,1,3,Moderate
7,5,3,11,3,Moderate
3,8,5,4,1,Moderate
4,5,5,28,3,Moderate
1,3,10,8,3,Conservative
7,3,5,17,3,Moderate
4,1,4,13,1,Conservative
9,8,7,8,1,Aggressive
1,3,10,13,1,Conservative
2,1,4,11,1,Conservative
10,2,8,6,2,Moderate
7,6,7,8,3,Moderate
8,3,1,30,1,Moderate
4,2,9,21,1,Moderate
1,9,10,15,1,Moderate
2,2,5,9,3,Conservative
9,2,10,22,1,Aggressive
6,7,7,2,1,Moderate
7,5,8,16,3,Moderate
6,10,3,1,2,Moderate
8,8,8,28,3,Aggressive
7,7,8,2,3,Aggressive
3,10,1,2,2,Moderate
3,10,5,4,3,Moderate
6,8,6,26,1,Aggressive
6,8,2,17,2,Moderate
3,1,3,19,2,Conservative
1,9,10,12,3,Moderate
8,8,1,11,1,Moderate
8,5,2,5,3,Moderate
7,1,6,11,1,Moderate
4,5,4,24,2,Moderate
4,9,1,7,2,Moderate
2,9,4,4,1,Moderate
5,2,4,1,3,Conservative
3,4,1,16,1,Conservative
1,7,2,18,3,Conservative
3,7,8,3,3,Moderate
6,8,3,27,3,Moderate
8,8,6,24,1,Aggressive
4,3,5,25,1,Moderate
8,2,8,5,1,Moderate
6,9,6,26,1,Aggressive
2,8,7,12,1,Moderate
2,9,3,16,1,Moderate
9,6,3,28,1,Aggressive
6,6,6,16,2,Moderate
5,8,1,12,3,Moderate
8,1,9,9,2,Moderate
6,1,9,13,3,Moderate
6,1,8,20,2,Moderate
2,6,5,5,2,Conservative
6,2,4,17,2,Moderate
2,8,7,23,3,Moderate
7,6,4,22,2,Moderate
8,5,2,30,3,Moderate
4,5,4,8,1,Moderate
3,3,8,15,3,Moderate
5,10,7,10,1,Aggressive
7,8,1,1,1,Moderate
7,6,8,17,1,Aggressive
10,1,7,11,3,Moderate
8,3,2,16,2,Moderate
5,10,9,7,1,Aggressive
4,2,10,21,2,Moderate
8,1,9,16,2,Moderate
5,6,4,22,1,Moderate
3,6,10,5,2,Moderate
7,8,9,24,1,Aggressive
8,3,9,28,3,Aggressive
2,1,9,14,1,Conservative
3,2,2,13,2,Conservative
5,7,4,23,3,Moderate
8,2,1,23,2,Moderate
6,3,5,18,1,Moderate
3,7,1,14,3,Conservative
7,9,8,14,1,Aggressive
2,10,3,13,1,Moderate
6,1,1,7,2,Conservative
8,10,5,23,1,Aggressive
8,10,9,9,1,Aggressive
9,1,4,2,3,Moderate
1,8,7,28,3,Moderate
1,2,6,25,1,Conservative
6,6,5,27,3,Moderate
1,2,1,29,3,Conservative
6,9,9,5,2,Aggressive
4,10,2,5,3,Moderate
7,1,6,20,1,Moderate
3,2,1,18,3,Conservative
10,1,7,21,2,Moderate
3,2,9,25,2,Moderate
6,9,10,10,2,Aggressive
2,1,8,7,3,Conservative
7,2,9,4,3,Moderate
6,1,1,26,1,Conservative
8,8,7,13,3,Aggressive
10,4,6,14,3,Aggressive
10,9,5,12,3,Aggressive
4,3,8,7,1,Moderate
4,9,7,28,1,Aggressive
5,2,8,20,2,Moderate
2,8,6,15,1,Moderate
9,3,5,28,1,Moderate
2,3,10,16,2,Moderate
2,5,4,18,3,Conservative
8,7,3,4,1,Moderate
3,2,7,26,3,Moderate
9,6,6,28,1,Aggressive
3,8,6,11,2,Moderate
7,8,2,9,1,Moderate
5,9,9,7,2,Aggressive
4,4,3,24,1,Moderate
1,9,10,10,3,Moderate
2,10,4,4,3,Moderate
2,8,10,8,3,Moderate
1,4,6,23,3,Conservative
7,3,5,16,1,Moderate
8,1,7,12,3,Moderate
7,3,2,18,2,Moderate
2,8,3,2,1,Conservative
1,10,10,11,3,Moderate
1,7,7,11,3,Moderate
9,8,10,19,2,Aggressive
4,7,1,26,1,Moderate
5,10,10,5,3,Aggressive
3,3,5,5,1,Conservative
10,2,6,4,1,Moderate
6,9,7,21,1,Aggressive
7,8,10,16,1,Aggressive
5,2,2,24,1,Conservative
7,6,9,10,3,Aggressive
5,5,2,18,2,Moderate
8,6,5,2,2,Moderate
3,6,7,5,2,Moderate
2,6,8,8,3,Moderate
1,5,1,4,1,Conservative
1,2,1,4,3,Conservative
7,8,1,12,2,Moderate
9,7,6,30,2,Aggressive
9,10,1,26,1,Aggressive
